                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.3652,                0.61643,                 1.0098,                0.89778,                0.83167,                0.89615,                0.57868,                 1.2979,                0.54853,                 0.9961,               0.001882,               0.001882,               0.001882
                     84,                 1.3652,                0.61843,                 1.0119,                0.89737,                0.83322,                0.89637,                0.57892,                 1.2973,                0.54781,                0.99577,               0.001783,               0.001783,               0.001783
                     85,                 1.3621,                0.61547,                 1.0121,                0.89792,                0.83299,                0.89698,                0.57943,                 1.2968,                 0.5471,                0.99571,               0.001684,               0.001684,               0.001684
                     86,                 1.3542,                0.61182,                 1.0077,                0.89931,                0.83212,                0.89716,                0.57957,                 1.2963,                0.54667,                0.99556,               0.001585,               0.001585,               0.001585
                     87,                 1.3556,                0.61068,                 1.0093,                 0.8979,                0.83424,                0.89768,                0.58003,                 1.2958,                0.54606,                0.99523,               0.001486,               0.001486,               0.001486
                     88,                 1.3579,                0.61021,                 1.0089,                 0.8986,                0.83438,                 0.8982,                0.58032,                 1.2952,                 0.5453,                0.99487,               0.001387,               0.001387,               0.001387
                     89,                 1.3474,                0.60416,                 1.0069,                0.89971,                0.83412,                0.89849,                0.58055,                 1.2951,                0.54492,                0.99475,               0.001288,               0.001288,               0.001288
                     90,                 1.3528,                0.60259,                 1.0309,                0.89887,                0.83498,                0.89849,                0.58096,                 1.2949,                0.54437,                 0.9946,               0.001189,               0.001189,               0.001189
                     91,                 1.3471,                0.59924,                 1.0297,                0.90012,                 0.8339,                0.89883,                 0.5811,                 1.2945,                0.54403,                0.99427,                0.00109,                0.00109,                0.00109
                     92,                 1.3439,                0.59397,                 1.0294,                0.90085,                0.83347,                0.89894,                0.58099,                  1.294,                0.54376,                0.99396,               0.000991,               0.000991,               0.000991
                     93,                 1.3394,                0.58964,                 1.0272,                0.90139,                0.83368,                0.89905,                0.58141,                 1.2938,                0.54326,                0.99373,               0.000892,               0.000892,               0.000892
                     94,                 1.3401,                0.58869,                 1.0268,                 0.9021,                0.83336,                0.89922,                 0.5817,                 1.2936,                0.54252,                0.99356,               0.000793,               0.000793,               0.000793
                     95,                 1.3371,                 0.5845,                 1.0249,                0.90177,                0.83414,                0.89945,                0.58188,                 1.2935,                0.54209,                0.99344,               0.000694,               0.000694,               0.000694
                     96,                 1.3347,                0.58308,                 1.0235,                0.90272,                0.83369,                0.89955,                0.58202,                 1.2932,                0.54194,                0.99313,               0.000595,               0.000595,               0.000595
                     97,                 1.3312,                0.57936,                 1.0232,                0.90244,                0.83439,                0.89963,                 0.5822,                 1.2927,                0.54137,                0.99281,               0.000496,               0.000496,               0.000496
                     98,                 1.3274,                0.57698,                 1.0197,                0.90334,                0.83397,                0.89986,                0.58252,                 1.2923,                0.54104,                0.99261,               0.000397,               0.000397,               0.000397
                     99,                 1.3254,                0.57281,                 1.0176,                0.90295,                0.83451,                0.90007,                 0.5826,                 1.2922,                0.54079,                0.99242,               0.000298,               0.000298,               0.000298
